#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	KINGCO-007-AKQ014A	KINGCO-007-AKQ014B	KINGCO-007-AKQ01A	KINGCO-007-AKQ01B	KINGCO-007-AKQ02A	KINGCO-007-AKQ02B	KINGCO-007-AKQ03A	KINGCO-007-AKQ03B	KINGCO-007-AKQ05A	KINGCO-007-AKQ05B
UNCLASSIFIED	9.936223	14.648806	20.786022	19.32603	17.441211	18.795438	7.096191	13.096355	15.612493	23.381954
k__Bacteria	88.578066	82.877755	79.213978	80.67397	82.558789	81.204562	92.855577	86.686482	80.295899	72.884419
k__Archaea	1.467197	2.434792	0.0	0.0	0.0	0.0	0.0	0.0	4.091608	3.733626
k__Eukaryota	0.018514	0.038647	0.0	0.0	0.0	0.0	0.048232	0.217163	0.0	0.0
k__Bacteria|p__Firmicutes	53.596737	49.466549	63.851667	70.755163	61.535088	55.522159	61.799525	57.187794	59.31115	41.130529
k__Bacteria|p__Pseudomonadota	12.561677	12.289844	5.168924	0.770546	3.196948	0.166268	4.564044	3.390348	2.397093	3.095493
k__Bacteria|p__Bacteroidota	7.584895	8.651949	2.619356	3.276975	5.838095	4.928251	10.795521	16.504068	12.237802	19.567111
k__Bacteria|p__Actinomycetota	7.382275	6.545749	7.529184	4.974289	11.968343	20.562719	15.641118	9.447602	4.795464	8.756539
k__Bacteria|p__Verrucomicrobiota	7.122047	5.278064	0.0	0.833395	0.005834	0.01641	0.0	0.0	1.390014	0.292917
k__Archaea|p__Methanobacteriota	1.467197	2.434792	0.0	0.0	0.0	0.0	0.0	0.0	4.091608	3.733626
k__Bacteria|p__Chloroflexota	0.197605	0.475851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota	0.103538	0.107444	0.011762	0.012334	0.006393	0.008755	0.032488	0.120109	0.151898	0.037319
k__Bacteria|p__Bacteria_unclassified	0.029293	0.019263	0.022476	0.04902	0.008088	0.0	0.0	0.017044	0.0	0.0
k__Eukaryota|p__Ascomycota	0.018514	0.038647	0.0	0.0	0.0	0.0	0.048232	0.217163	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	28.179778	23.836913	57.197474	62.099989	32.64395	28.676537	36.534856	43.893508	41.192486	29.028632
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	12.517793	12.267528	4.947914	0.618318	3.009299	0.04316	4.542608	3.337345	2.255353	3.053382
k__Bacteria|p__Bacteroidota|c__Bacteroidia	7.537797	8.568522	2.619356	3.276975	5.321478	4.628094	10.406732	16.244446	12.237802	19.567111
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	7.122047	5.278064	0.0	0.833395	0.0	0.0	0.0	0.0	1.390014	0.292917
